job_title;seniority_level;status;company;location;post_date;headquarter;industry;ownership;company_size;revenue;skills;Revenue_numeric;Revenue Status;AVG_Salary
machine learning engineer;senior;Not specified;company_106;Pune, Maharashtra, India;4 days ago;K?benhavn, DK;Logistics;Private;38,090;Ä34.17B;spark, aws, powerbi, python, docker, sql, machine learning, gcp, kubernetes, deep learning, azure;34.17;Reported;26757
data scientist;senior;Not specified;company_089;Denver, CO;8 days ago;Washington, DC, US;Finance;Public;2,300;Public;aws, git, python, sql, machine learning;;Not Reprted (Puplic) ;148421.5
data scientist;senior;on-site;company_112;San Francisco, California, United States . On-site;a month ago;San Francisco, CA, US;Technology;Private;420;Ä5.10B;Not Defined;5.1;Reported;148808
data scientist;lead;on-site;company_113;Charlotte, NC;8 days ago;Mooresville, NC, US;Retail;Public;118,910;Public;sql, deep learning, machine learning;;Not Reprted (Puplic) ;147784
data scientist;senior;hybrid;company_115;Bengaluru, Karnataka, India . Hybrid;a month ago;Frankfurt am Main, HE, DE;Finance;Public;68,400;Public;pytorch, aws, python, sql, gcp, azure, tensorflow;;Not Reprted (Puplic) ;24205
data scientist;senior;Not specified;company_116;Chennai, Tamil Nadu, India;2 days ago;Dearborn, MI, US;Technology;Public;187,540;Ä51.93B;pandas, numpy, pytorch, powerbi, git, scikit-learn, python, java, sql, neural network, gcp, machine learning, matplotlib, tensorflow;51.93;Reported;13886
data scientist;senior;on-site;company_119;Menlo Park, CA . On-site;15 days ago;West Menlo Park, CA, US;Finance;Public;3,810;Ä7.94B;Not Defined;7.94;Reported;177647.5
data scientist;midlevel;Not specified;company_014;Berkeley, CA;15 days ago;Berkeley, CA, US;Education;Education;17,451;Education;machine learning, database;;Education company;102167
data scientist;senior;remote;company_121;Remote, United States . Fully Remote;a month ago;San Francisco, CA, US;Technology;Private;1,290;Ä3.17B;Not Defined;3.17;Reported;154314.5
data scientist;senior;on-site;company_100;Rock Island, IL . On-site;3 months ago;Hook, GB;Technology;Public;28,810;Public;scikit-learn, r, python, java, machine learning;;Not Reprted (Puplic) ;103558.5
data scientist;senior;remote;company_067;San Francisco, CA, US . Remote, US . Fully Remote;4 days ago;San Francisco, CA, US;Technology;Public;5,320;Ä14.20B;Not Defined;14.2;Reported;306623
data scientist;senior;Not specified;company_126;United States;15 days ago;San Francisco, CA, US;Finance;Private;30;Private;Not Defined;;Not Reported (Private) ;28501
data scientist;senior;remote;company_021;Fully Remote;a day ago;San Francisco, CA, US;Technology;Public;5,550;Ä60.91B;Not Defined;60.91;Reported;255732
data scientist;Not Specified;remote;company_129;Fully Remote;8 days ago;New York, NY, US;Finance;Private;45;Private;Not Defined;;Not Reported (Private) ;159834
data scientist;senior;Not specified;company_022;Pittsburgh, PA;7 days ago;Charlotte, NC, US;Technology;Public;103,070;Ä128.23B;python, java, sql, kubernetes, azure;128.23;Reported;96819
data scientist;senior;on-site;company_134;Seattle, WA . Seattle, Washington, ?tats-Unis . Seattle, Washington, USA;a month ago;Seattle, WA, US;Retail;Public;865,416;Ä832.86B;amazon, r, python, machine learning, deep learning;832.86;Reported;219201
machine learning engineer;Not Specified;on-site;company_135;Taipei, Taiwan . On-site;a day ago;TW;Technology;Private;530;Private;Not Defined;;Not Reported (Private) ;36340
data scientist;senior;hybrid;company_137;Denver, CO . Hybrid;a month ago;Denver, CO, US;Technology;Private;900;Ä913.33M;spark, r, python, database, machine learning;913.33;Reported;138833
data scientist;senior;remote;company_141;Fort Worth, TX;a month ago;Bethesda, MD, US;Technology;Public;108,670;Ä116.78B;machine learning;116.78;Reported;116453
data scientist;senior;hybrid;company_145;Austin, Texas . Hybrid;a day ago;San Jose, CA, US;Technology;Public;2,760;Public;Not Defined;;Not Reprted (Puplic) ;200936
data scientist;senior;hybrid;company_146;Toronto, ON . Hybrid;11 days ago;San Francisco, CA, US;Finance;Private;780;Ä11.80B;Not Defined;11.8;Reported;182211.5
data scientist;senior;Not specified;company_148;Orlando, FL;5 days ago;Charlotte, NC, US;Finance;Public;14,090;Ä55.90B;spark, r, python, sql, hadoop, machine learning;55.9;Reported;88185
data scientist;senior;on-site;company_153;United States;15 days ago;San Jose, CA, US;Technology;Private;900;Private;pytorch, spark, aws, scikit-learn, python, docker, deep learning, java, sql, machine learning, gcp, kubernetes, hadoop, azure, tensorflow;;Not Reported (Private) ;228792.5
data scientist;lead;remote;company_155;All, MO;15 days ago;Chicago, IL, US;Technology;Public;2,570;Public;aws, scikit-learn, python, sql, machine learning, tensorflow;;Not Reprted (Puplic) ;164399.5
machine learning engineer;Not Specified;on-site;company_156;Mountain View, California (HQ) . On-site;8 days ago;Mountain View, CA, US;Technology;Private;900;Ä8.10B;Not Defined;8.1;Reported;173532.5
data scientist;senior;on-site;company_158;Reston, VA;4 days ago;Falls Church, VA, US;Technology;Private;21,690;Private;aws, git, python, java, kubernetes, machine learning;;Not Reported (Private) ;196794.5
data scientist;senior;remote;company_159;Fully Remote;2 months ago;Roseville, CA, US;Technology;Private;900;Ä11.41B;Not Defined;11.41;Reported;144311
data scientist;senior;hybrid;company_164;Redwood City, US, California . Hybrid;2 months ago;M¸nchen, BY, DE;Technology;Private;2,010;Ä12.32B;Not Defined;12.32;Reported;172619.5
data scientist;senior;on-site;company_166;Veldhoven, North Brabant, Netherlands . On-site;21 days ago;Veldhoven, NB, NL;Technology;Public;24,780;Ä173.21B;r;173.21;Reported;82371
data scientist;senior;remote;company_169;Fully Remote;4 days ago;San Francisco, CA, US;Technology;Public;4,080;Ä7.84B;Not Defined;7.84;Reported;224774
data scientist;senior;Not specified;company_170;Ridgefield, CT;10 days ago;Ingelheim am Rhein, RP, DE;Technology;Public;52,060;Public;pytorch, git, scikit-learn, python, docker, kubernetes, machine learning, tensorflow;;Not Reprted (Puplic) ;165320
data scientist;senior;Not specified;company_171;Pune, Maharashtra, India;15 days ago;Armonk, NY, US;Technology;Public;524,608;Ä119.43B;pandas, pytorch, r, python, java, database, keras, machine learning, matplotlib, tensorflow;119.43;Reported;39984.5
data scientist;Not Specified;on-site;company_173;San Mateo, CA . On-site;a month ago;Burlingame, CA, US;Technology;Private;126;Private;Not Defined;;Not Reported (Private) ;116452
data scientist;senior;on-site;company_176;On-site;11 days ago;Mountain View, CA, US;Technology;Public;2,790;Public;Not Defined;;Not Reprted (Puplic) ;151301.5
data scientist;senior;on-site;company_177;Omaha, NE . Newport Beach, CA . Massachusetts, United States;a month ago;Newport Beach, CA, US;Finance;Public;4,010;Public;scikit-learn, python, sql, machine learning, tensorflow;;Not Reprted (Puplic) ;166049.5
data scientist;senior;on-site;company_178;Torrance, CA;3 days ago;Torrance, CA, US;Technology;Public;10,100;Ä36.69B;spark, r, python, hadoop, machine learning;36.69;Reported;63942
data scientist;senior;hybrid;company_179;Los Angeles, CA . United States . San Francisco, CA . Hybrid;20 days ago;Collingwood, VIC, AU;Technology;Private;150;Ä1.44B;amazon;1.44;Reported;198651
data scientist;midlevel;remote;company_181;San Francisco, CA;8 days ago;San Francisco, CA, US;Technology;Public;1,290;Public;tableau, sql, r, python;;Not Reprted (Puplic) ;116221.5
data scientist;senior;hybrid;company_182;Navi Mumbai, Maharashtra, India . Hybrid;a month ago;Chicago, IL, US;Finance;Public;9,920;Public;pandas, numpy, pytorch, scikit-learn, python, docker, scipy, sql, machine learning, deep learning, matplotlib, tensorflow;;Not Reprted (Puplic) ;15542
data scientist;senior;hybrid;company_183;Tallinn, Harjumaa, Estonia . Hybrid;15 days ago;Tallinn, EE;Technology;Private;3,770;Private;pandas, numpy, spark, aws, scikit-learn, python, docker, airflow, sql, machine learning, deep learning;;Not Reported (Private) ;61772
data scientist;senior;on-site;company_184;New York, NY;8 days ago;New York, NY, US;Retail;Public;130,040;Ä5.18B;machine learning;5.18;Reported;137004
data scientist;senior;Not specified;company_185;Fairfax, VA;2 months ago;Falls Church, VA, US;Technology;Public;97,010;Ä75.00B;pytorch, git, python, machine learning, keras, deep learning, tensorflow;75;Reported;214818
data scientist;senior;hybrid;company_186;New York, NY . Hybrid;8 days ago;New York, NY, US;Technology;Public;830;Ä14.48B;database, sql, aws, python;14.48;Reported;75357
data scientist;midlevel;Not specified;company_192;United States;a month ago;NY, US;Technology;Private;15;Private;amazon, spark, python, airflow, machine learning;;Not Reported (Private) ;150707
data scientist;senior;on-site;company_193;Phoenix, AZ;3 days ago;Phoenix, AZ, US;Energy;Public;35,020;Ä37.86B;powerbi, aws, r, python, sql, machine learning;37.86;Reported;82201
data scientist;Not Specified;hybrid;company_196;Hybrid;7 months ago;San Francisco, CA, US;Finance;Private;890;Ä12.43B;Not Defined;12.43;Reported;198375.5
data scientist;Not Specified;on-site;company_197;Bengaluru, Karnataka, India . On-site;22 days ago;Palo Alto, CA, US;Technology;Private;180;Ä913.33M;Not Defined;913.33;Reported;27409
data scientist;lead;hybrid;company_199;Austin, TX . Hybrid;15 days ago;Toronto, ON, CA;Technology;Public;19,470;Ä91.70B;java, sql, python;91.7;Reported;109605
data scientist;lead;hybrid;company_203;Cincinnati, OH . Chicago, IL . Hybrid;a day ago;Cincinnati, OH, US;Technology;Private;1,230;Private;Not Defined;;Not Reported (Private) ;199795
data scientist;senior;on-site;company_207;Manassas, VA;14 days ago;Boise, ID, US;Technology;Public;40,060;Ä55.54B;aws, python, linux, sql, gcp, hadoop;55.54;Reported;106407
data scientist;senior;Not specified;company_209;Bengaluru, Karnataka, India;8 days ago;New York, NY, US;Technology;Private;1,270;Ä913.33M;spark, aws, python, sql, gcp, deep learning, tensorflow, tableau;913.33;Reported;639348
data analyst;midlevel;Not specified;company_211;Eindhoven, North Brabant, Netherlands;15 days ago;Amsterdam, NH, NL;Healthcare;Public;82,020;Public;python;;Not Reprted (Puplic) ;69047
data scientist;senior;Not specified;company_212;Cincinnati, OH;5 days ago;Boston, MA, US;Technology;Public;222,500;Public;azure, aws, machine learning, python;;Not Reprted (Puplic) ;135179
machine learning engineer;Not Specified;on-site;company_215;San Francisco, CA . Seattle, WA . New York, NY . On-site;13 days ago;San Francisco, CA, US;Technology;Private;580;Ä7.07B;Not Defined;7.07;Reported;248888.5
data scientist;lead;hybrid;company_221;Bengaluru, Karnataka, India . Hybrid;8 days ago;New York, NY, US;Technology;Private;900;Private;spark, r, python, java, sql, machine learning;;Not Reported (Private) ;19096
data scientist;senior;Not specified;company_223;Raleigh-Durham-Chapel Hill Area;2 days ago;New York, NY, US;Technology;Public;10,010;Public;spark, aws, r, python, machine learning, hadoop, deep learning;;Not Reprted (Puplic) ;99560
data scientist;senior;hybrid;company_092;McLean, VA . Hybrid;5 days ago;Toronto, ON, CA;Technology;Public;24,030;Public;java, machine learning, r, python;;Not Reprted (Puplic) ;132622.5
data scientist;Not Specified;remote;company_225;Fully Remote;7 days ago;San Francisco, CA, US;Retail;Private;12,300;Ä35.97B;Not Defined;35.97;Reported;137001
data scientist;senior;on-site;company_226;Rochester, New York Metropolitan Area;22 days ago;Rochester, NY, US;Education;Education;9,320;Education;deep learning, machine learning;;Education company;66234.5
data scientist;senior;on-site;company_227;Denver, CO;15 days ago;Denver, CO, US;Healthcare;Public;24,020;Ä6.34B;pytorch, aws, r, python, docker, scikit-learn, sql, machine learning, gcp, deep learning, azure, tensorflow;6.34;Reported;84759.5
